words,labels
"['BACKGROUND', '&', 'AIMS', ':', 'Congenital', 'lactase', 'deficiency', '(', 'CLD', ')', 'is', 'a', 'cause', 'of', 'disaccharide', 'intolerance', 'and', 'malabsorption', 'characterized', 'by', 'watery', 'diarrhea', 'in', 'infants', 'fed', 'breast', 'milk', 'or', 'lactose', '-', 'containing', 'formulas', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'molecular', 'basis', 'of', 'CLD', 'is', 'unknown', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mutations', 'in', 'the', 'coding', 'region', 'of', 'the', 'brush', 'border', 'enzyme', 'lactase', 'phlorizin', 'hydrolase', '(', 'LPH', ')', 'were', 'found', 'to', 'cause', 'CLD', 'in', 'a', 'study', 'of', '19', 'Finnish', 'families', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'analyzed', 'the', 'effects', 'of', 'one', 'of', 'these', 'mutations', ',', 'G1363S', ',', 'on', 'LPH', 'folding', ',', 'trafficking', ',', 'and', 'function', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['METHODS', ':', 'We', 'introduced', 'a', 'mutation', 'into', 'the', 'LPH', 'complementary', 'DNA', 'that', 'resulted', 'in', 'the', 'amino', 'acid', 'substitution', 'G1363S', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'mutant', 'gene', 'was', 'transiently', 'expressed', 'in', 'COS', '-', '1', 'cells', ',', 'and', 'the', 'effects', 'were', 'assessed', 'at', 'the', 'protein', ',', 'structural', ',', 'and', 'subcellular', 'levels', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['RESULTS', ':', 'The', 'mutant', 'protein', 'LPH', '-', 'G1363S', 'was', 'misfolded', 'and', 'could', 'not', 'exit', 'the', 'endoplasmic', 'reticulum', '.']","['O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Interestingly', ',', 'the', 'mutation', 'creates', 'an', 'additional', 'N', '-', 'glycosylation', 'site', 'that', 'is', 'characteristic', 'of', 'a', 'temperature', '-', 'sensitive', 'protein', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'intracellular', 'transport', 'and', 'enzymatic', 'activity', ',', 'but', 'not', 'correct', 'folding', ',', 'of', 'LPH', '-', 'G1363S', 'were', 'partially', 'restored', 'by', 'expression', 'at', '20', 'degrees', 'C', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['However', ',', 'a', 'form', 'of', 'LPH', 'that', 'contains', 'the', 'mutations', 'G1363S', 'and', 'N1361A', ',', 'which', 'eliminates', 'the', 'N', '-', 'glycosylation', 'site', ',', 'did', 'not', 'restore', 'the', 'features', 'of', 'wild', '-', 'type', 'LPH', '.']","['O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O']"
"['Thus', ',', 'the', 'additional', 'glycosyl', 'group', 'is', 'not', 'required', 'for', 'the', 'LPH', '-', 'G1363S', 'defects', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O']"
"['CONCLUSIONS', ':', 'This', 'is', 'the', 'first', 'characterization', ',', 'at', 'the', 'molecular', 'and', 'subcellular', 'levels', ',', 'of', 'a', 'mutant', 'form', 'of', 'LPH', 'that', 'is', 'involved', 'in', 'the', 'pathogenesis', 'of', 'CLD', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mutant', 'LPH', 'accumulates', 'predominantly', 'in', 'the', 'endoplasmic', 'reticulum', 'but', 'can', 'partially', 'mature', 'at', 'a', 'permissive', 'temperature', ';', 'these', 'features', 'are', 'unique', 'for', 'a', 'protein', 'involved', 'in', 'a', 'carbohydrate', 'malabsorption', 'defect', 'implicating', 'LPH', '.']","['O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O']"
"['Epigenetic', 'inheritance', 'through', 'self', '-', 'recruitment', 'of', 'the', 'polycomb', 'repressive', 'complex', '2', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Maintenance', 'of', 'gene', 'expression', 'through', 'epigenetic', 'mechanisms', 'such', 'as', 'DNA', '-', 'and', 'histone', '-', 'methylation', 'is', 'essential', 'for', 'preserving', 'cellular', 'identity', 'and', 'function', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'B-Methylation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Multiplication', 'of', 'eukaryotic', 'cells', 'requires', 'that', 'the', 'DNA', 'content', 'of', 'the', 'cell', 'is', 'duplicated', 'through', 'replication', ',', 'which', 'is', 'coupled', 'to', 'incorporation', 'of', 'de', 'novo', 'synthesized', 'core', 'histones', 'into', 'nucleosomal', 'structures', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O']"
"['One', 'of', 'the', 'challenging', 'questions', 'in', 'biology', 'is', 'to', 'explain', 'how', 'the', 'organism', 'ensures', 'that', 'regulatory', 'epigenetic', 'marks', ',', 'once', 'established', ',', 'are', 'transferred', 'from', 'one', 'cell', 'generation', 'to', 'the', 'next', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Based', 'on', 'studies', 'in', 'our', 'laboratory', ',', 'we', 'have', 'recently', 'proposed', 'a', 'model', 'for', 'how', 'the', 'methylated', 'lysine', '27', 'of', 'histone', 'H3', '(', 'H3K27', ')', 'can', 'be', 'stably', 'transmitted', 'through', 'the', 'cell', 'division', 'cycle', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Methylation', 'B-Entity', 'I-Entity', 'O', 'B-Protein', 'I-Protein', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'found', 'that', 'the', 'Polycomb', 'Repressive', 'Complex', '2', '(', 'PRC2', ')', ',', 'which', 'is', 'responsible', 'for', 'di', '-', 'and', 'trimethylation', 'of', 'H3K27', '(', 'H3K27me2', '/', 'me3', ')', ',', 'binds', 'to', 'its', 'own', 'site', 'of', 'methylation', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Methylation', 'I-Methylation', 'O', 'B-Methylation', 'O', 'B-Protein', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Moreover', ',', 'our', 'results', 'suggested', 'that', 'maintenance', 'of', 'transcriptional', 'repression', 'by', 'PRC2', 'requires', 'the', 'binding', 'of', 'the', 'PRC2', 'complex', 'to', 'H3K27me3', '/', 'me2', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O']"
"['Based', 'on', 'these', 'two', 'key', 'observations', 'we', 'propose', 'that', 'PRC2', 'is', 'able', 'to', 'copy', 'the', 'mark', 'from', 'an', 'old', 'parental', 'H3', 'molecule', 'to', 'a', 'newly', 'synthesized', 'H3', 'molecule', 'as', 'DNA', 'replication', 'proceeds', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'addition', ',', 'our', 'results', 'support', 'a', 'model', 'for', 'how', 'the', 'H3K27me3', 'mark', 'could', 'be', 'preserved', 'in', 'the', 'interphase', 'of', 'the', 'cell', 'cycle', ',', 'where', 'other', 'events', 'such', 'as', 'histone', 'exchange', 'and', 'demethylation', 'could', 'counteract', 'PRC2', 'function', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'B-Demethylation', 'O', 'O', 'O', 'O', 'O']"
"['Here', 'we', 'discuss', 'the', 'implications', 'of', 'our', 'results', 'in', 'further', 'detail', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Synthesis', 'of', 'hydroxymethylglutathione', 'from', 'glutathione', 'and', 'L', '-', 'serine', 'catalyzed', 'by', 'carboxypeptidase', 'Y', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'O']"
"['Hydroxymethylglutathione', '(', 'gamma', '-', 'L', '-', 'glutamyl', '-', 'L', '-', 'cysteinyl', '-', 'L', '-', 'serine', ';', 'hmGSH', ')', 'occurs', 'in', 'many', 'species', 'belonging', 'to', 'the', 'family', 'Gramineae', ',', 'but', 'the', 'biosynthetic', 'pathway', 'for', 'hmGSH', 'has', 'not', 'been', 'identified', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'found', 'that', 'carboxypeptidase', 'Y', '(', 'CPY', ')', ',', 'but', 'not', 'carboxypeptidase', 'A', ',', 'catalyzed', 'hmGSH', 'synthesis', 'from', 'glutathione', 'and', 'L', '-', 'serine', 'in', 'vitro', 'at', 'acidic', 'pH', '.']","['O', 'O', 'O', 'B-Protein', 'I-Protein', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['CPY', 'also', 'catalyzed', 'methylglutathione', 'synthesis', 'from', 'glutathione', 'and', 'L', '-', 'alanine', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['These', 'findings', 'suggested', 'that', 'a', 'carboxypeptidase', '-', 'like', 'enzyme', 'may', 'be', 'involved', 'in', 'hmGSH', 'synthesis', 'in', 'vivo', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Targeted', 'restoration', 'of', 'down', '-', 'regulated', 'DAPK2', 'tumor', 'suppressor', 'activity', 'induces', 'apoptosis', 'in', 'Hodgkin', 'lymphoma', 'cells', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Death', '-', 'associated', 'protein', 'kinase', '2', '(', 'DAPK2', ')', 'is', 'a', 'calcium', '/', 'calmodulin', '-', 'regulated', 'proapoptotic', 'serine', '/', 'threonine', 'kinase', 'that', 'acts', 'as', 'a', 'tumor', 'suppressor', '.']","['B-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Here', 'we', 'show', 'that', 'DAPK2', 'is', 'down', '-', 'regulated', 'in', 'Hodgkin', 'lymphoma', '-', 'derived', 'tumor', 'cell', 'lines', 'and', 'that', 'promoter', '-', 'region', 'hypermethylation', 'is', 'one', 'mechanism', 'for', 'DAPK2', 'inactivation', '.']","['O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Entity', 'I-Entity', 'I-Entity', 'B-DNA_methylation', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O']"
"['To', 'determine', 'whether', 'selective', 'reconstitution', 'of', 'DAPK2', 'catalytic', 'activity', 'in', 'these', 'cells', 'could', 'induce', 'apoptosis', ',', 'we', 'created', 'a', 'fusion', 'protein', 'comprising', 'a', 'human', 'CD30', 'ligand', 'conjugated', 'to', 'a', 'human', 'DAPK2', 'calmodulin', '-', 'deletion', 'mutant', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'O', 'O', 'O', 'O']"
"['Thus', ',', 'recombinant', 'immunokinase', 'DAPK2', ""'"", '-', 'CD30L', 'has', 'a', 'constitutive', 'kinase', 'activity', 'with', 'enhanced', 'proapoptotic', 'function', '.']","['O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'show', 'that', 'this', 'immunokinase', 'fusion', 'protein', 'inhibits', 'cell', 'proliferation', 'and', 'induces', 'apoptotic', 'cell', 'death', 'specifically', 'in', 'CD30', '/', 'DAPK2', '-', 'negative', 'tumor', 'cell', 'lines', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O']"
"['This', 'proof', '-', 'of', '-', 'concept', 'study', 'provides', 'the', 'first', 'demonstration', 'of', 'therapeutic', 'strategies', 'based', 'on', 'the', 'restoration', 'of', 'a', 'defective', ',', 'tumor', '-', 'suppressing', 'kinase', 'activity', 'by', 'a', 'novel', 'class', 'of', 'recombinant', 'immunotherapeutics', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Canine', 'COL1A2', 'mutation', 'resulting', 'in', 'C', '-', 'terminal', 'truncation', 'of', 'pro', '-', 'alpha2', '(', 'I', ')', 'and', 'severe', 'osteogenesis', 'imperfecta', '.']","['O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['RNA', 'and', 'type', 'I', 'collagen', 'were', 'analyzed', 'from', 'cultured', 'skin', 'fibroblasts', 'of', 'a', 'Beagle', 'puppy', 'with', 'fractures', 'consistent', 'with', 'type', 'III', 'osteogenesis', 'imperfecta', '(', 'OI', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'a', 'nonisotopic', 'RNAse', 'cleavage', 'assay', '(', 'NIRCA', ')', ',', 'the', 'proband', ""'"", 's', 'RNA', 'had', 'a', 'unique', 'cleavage', 'pattern', 'in', 'the', 'region', 'of', 'COL1A2', 'encoding', 'the', 'C', '-', 'propeptide', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'O']"
"['DNA', 'sequence', 'analyses', 'identified', 'a', 'mutation', 'in', 'which', 'nucleotides', '3991', '-', '3994', '(', '""', 'CTAG', '""', ')', 'were', 'replaced', 'with', '""', 'TGTCATTGG', '.', '""', 'The', 'first', 'seven', 'bases', 'of', 'the', 'inserted', 'sequence', 'were', 'identical', 'to', 'nucleotides', '4002', '-', '4008', 'of', 'the', 'normal', 'canine', 'COL1A2', 'sequence', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O']"
"['The', 'resulting', 'frameshift', 'changed', '30', 'amino', 'acids', 'and', 'introduced', 'a', 'premature', 'stop', 'codon', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Reverse', '-', 'transcription', 'polymerase', 'chain', 'reaction', '(', 'RT', '-', 'PCR', ')', 'with', 'primers', 'flanking', 'the', 'mutation', 'site', 'amplified', 'two', 'complementary', 'DNA', '(', 'cDNA', ')', 'fragments', 'for', 'the', 'proband', 'and', 'a', 'single', 'product', 'for', 'the', 'control', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Restriction', 'enzyme', 'digestions', 'also', 'were', 'consistent', 'with', 'a', 'heterozygous', 'mutation', 'in', 'the', 'proband', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Type', 'I', 'procollagen', 'labeled', 'with', '[', '3H', ']', 'proline', 'was', 'analyzed', 'by', 'sodium', 'dodecyl', 'sulfate', '-', 'polyacrylamide', 'gel', 'electrophoresis', '(', 'SDS', '-', 'PAGE', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Increased', 'density', 'of', 'pC', '-', 'alpha2', '(', 'I', ')', 'suggested', 'comigration', 'with', 'the', 'similarly', 'sized', 'pro', '-', 'alpha2', '(', 'I', ')', 'derived', 'from', 'the', 'mutant', 'allele', '.']","['O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Furthermore', ',', 'a', '-', 'chains', 'were', 'overhydroxylated', 'and', 'the', 'ratio', 'of', 'alpha1', '(', 'I', ')', ':', 'alpha2', '(', 'I', ')', 'was', '3', '.', '2', ':', '1', ',', 'consistent', 'with', 'the', 'presence', 'of', 'alpha1', '(', 'I', ')', 'homotrimers', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Hydroxylation', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'I-Protein', 'O', 'O']"
