labels	start	end	words
I-Protein	692	693	-
I-Protein	693	694	1
I-Protein	695	700	alpha
O	700	701	)
O	702	704	in
O	705	709	vivo
O	710	712	in
O	713	716	the
O	717	725	presence
O	726	728	of
B-Protein	729	732	HBx
O	732	733	,
O	734	739	which
O	740	743	was
O	744	753	abolished
O	754	756	by
O	757	766	knockdown
O	767	769	of
B-Protein	770	774	MTA1
O	775	777	by
O	778	783	short
O	784	795	interfering
O	796	799	RNA
O	800	801	(
O	801	806	siRNA
O	806	807	)
O	807	808	.

B-Protein	809	812	HBx
O	813	820	induced
B-Deacetylation	821	834	deacetylation
O	835	837	of
O	838	841	the
B-Entity	842	848	oxygen
I-Entity	848	849	-
I-Entity	849	858	dependent
I-Entity	859	870	degradation
I-Entity	871	877	domain
O	878	880	of
B-Protein	881	884	HIF
I-Protein	884	885	-
I-Protein	885	886	1
I-Protein	887	892	alpha
O	892	893	,
O	894	899	which
O	900	903	was
O	904	915	accompanied
O	916	920	with
O	921	933	dissociation
O	934	936	of
O	937	943	prolyl
O	944	956	hydroxylases
O	957	960	and
B-Protein	961	964	von
I-Protein	965	971	Hippel
I-Protein	971	972	-
I-Protein	972	978	Lindau
I-Protein	979	984	tumor
I-Protein	985	995	suppressor
O	996	1000	from
B-Protein	1001	1004	HIF
I-Protein	1004	1005	-
I-Protein	1005	1006	1
I-Protein	1007	1012	alpha
O	1012	1013	.

O	1014	1019	These
O	1020	1027	results
O	1028	1036	indicate
O	1037	1041	that
B-Protein	1042	1045	HBx
O	1045	1046	-
O	1046	1053	induced
B-Deacetylation	1054	1067	deacetylation
O	1068	1070	is
O	1071	1080	important
O	1081	1084	for
O	1085	1096	proteasomal
O	1097	1108	degradation
O	1109	1111	of
B-Protein	1112	1115	HIF
I-Protein	1115	1116	-
I-Protein	1116	1117	1
I-Protein	1118	1123	alpha
O	1123	1124	.

O	1125	1132	Further
O	1132	1133	,
O	1134	1136	we
O	1137	1145	observed
O	1146	1150	that
O	1151	1158	protein
O	1159	1165	levels
O	1166	1168	of
B-Protein	1169	1173	MTA1
O	1174	1177	and
B-Protein	1178	1183	HDAC1
O	1184	1188	were
O	1189	1198	increased
O	1199	1201	in
O	1202	1205	the
O	1206	1211	liver
O	1212	1214	of
B-Protein	1215	1218	HBx
O	1218	1219	-
O	1219	1229	transgenic
O	1230	1234	mice
O	1234	1235	.

O	1236	1240	Also
O	1240	1241	,
O	1242	1247	there
O	1248	1251	was
O	1252	1253	a
O	1254	1260	higher
O	1261	1271	expression
O	1272	1274	of
B-Protein	1275	1280	HDAC1
O	1281	1283	in
O	1284	1287	HCC
O	1288	1292	than
O	1293	1295	in
O	1296	1299	the
O	1300	1308	adjacent
O	1309	1312	non
O	1312	1313	-
O	1313	1321	tumorous
O	1322	1331	cirrhotic
O	1332	1339	nodules
O	1340	1342	in
O	1343	1345	10
O	1346	1349	out
O	1350	1352	of
O	1353	1355	12
O	1356	1361	human
O	1362	1365	HBV
O	1365	1366	-
O	1366	1376	associated
O	1377	1380	HCC
O	1381	1390	specimens
O	1390	1391	.

O	1392	1400	Together
O	1400	1401	,
O	1402	1405	our
O	1406	1410	data
O	1411	1419	indicate
O	1420	1421	a
O	1422	1430	positive
O	1431	1436	cross
O	1437	1441	talk
O	1442	1449	between
B-Protein	1450	1453	HBx
O	1454	1457	and
O	1458	1461	the
B-Protein	1462	1466	MTA1
O	1466	1467	/
O	1467	1471	HDAC
O	1472	1479	complex
O	1480	1482	in
O	1483	1494	stabilizing
B-Protein	1495	1498	HIF
I-Protein	1498	1499	-
I-Protein	1499	1500	1
I-Protein	1501	1506	alpha
O	1506	1507	,
O	1508	1513	which
O	1514	1517	may
O	1518	1522	play
O	1523	1524	a
O	1525	1533	critical
O	1534	1538	role
O	1539	1541	in
O	1542	1554	angiogenesis
O	1555	1558	and
O	1559	1569	metastasis
O	1570	1572	of
O	1573	1576	HBV
O	1576	1577	-
O	1577	1587	associated
O	1588	1591	HCC
O	1591	1592	.
