labels	start	end	words
O	879	880	:
O	881	884	The
O	885	891	mutant
O	892	899	protein
B-Protein	900	903	LPH
O	903	904	-
O	904	910	G1363S
O	911	914	was
O	915	924	misfolded
O	925	928	and
O	929	934	could
O	935	938	not
O	939	943	exit
O	944	947	the
O	948	959	endoplasmic
O	960	969	reticulum
O	969	970	.

O	971	984	Interestingly
O	984	985	,
O	986	989	the
O	990	998	mutation
O	999	1006	creates
O	1007	1009	an
O	1010	1020	additional
O	1021	1022	N
O	1022	1023	-
O	1023	1036	glycosylation
O	1037	1041	site
O	1042	1046	that
O	1047	1049	is
O	1050	1064	characteristic
O	1065	1067	of
O	1068	1069	a
O	1070	1081	temperature
O	1081	1082	-
O	1082	1091	sensitive
O	1092	1099	protein
O	1099	1100	.

O	1101	1104	The
O	1105	1118	intracellular
O	1119	1128	transport
O	1129	1132	and
O	1133	1142	enzymatic
O	1143	1151	activity
O	1151	1152	,
O	1153	1156	but
O	1157	1160	not
O	1161	1168	correct
O	1169	1176	folding
O	1176	1177	,
O	1178	1180	of
B-Protein	1181	1184	LPH
O	1184	1185	-
O	1185	1191	G1363S
O	1192	1196	were
O	1197	1206	partially
O	1207	1215	restored
O	1216	1218	by
O	1219	1229	expression
O	1230	1232	at
O	1233	1235	20
O	1236	1243	degrees
O	1244	1245	C
O	1245	1246	.

O	1247	1254	However
O	1254	1255	,
O	1256	1257	a
O	1258	1262	form
O	1263	1265	of
B-Protein	1266	1269	LPH
O	1270	1274	that
O	1275	1283	contains
O	1284	1287	the
O	1288	1297	mutations
O	1298	1304	G1363S
O	1305	1308	and
O	1309	1315	N1361A
O	1315	1316	,
O	1317	1322	which
O	1323	1333	eliminates
O	1334	1337	the
O	1338	1339	N
O	1339	1340	-
O	1340	1353	glycosylation
O	1354	1358	site
O	1358	1359	,
O	1360	1363	did
O	1364	1367	not
O	1368	1375	restore
O	1376	1379	the
O	1380	1388	features
O	1389	1391	of
O	1392	1396	wild
O	1396	1397	-
O	1397	1401	type
B-Protein	1402	1405	LPH
O	1405	1406	.

O	1407	1411	Thus
O	1411	1412	,
O	1413	1416	the
O	1417	1427	additional
O	1428	1436	glycosyl
O	1437	1442	group
O	1443	1445	is
O	1446	1449	not
O	1450	1458	required
O	1459	1462	for
O	1463	1466	the
B-Protein	1467	1470	LPH
O	1470	1471	-
O	1471	1477	G1363S
O	1478	1485	defects
O	1485	1486	.

O	1487	1498	CONCLUSIONS
O	1498	1499	:
O	1500	1504	This
O	1505	1507	is
O	1508	1511	the
O	1512	1517	first
O	1518	1534	characterization
O	1534	1535	,
O	1536	1538	at
O	1539	1542	the
O	1543	1552	molecular
O	1553	1556	and
O	1557	1568	subcellular
O	1569	1575	levels
O	1575	1576	,
O	1577	1579	of
O	1580	1581	a
O	1582	1588	mutant
O	1589	1593	form
O	1594	1596	of
B-Protein	1597	1600	LPH
O	1601	1605	that
O	1606	1608	is
O	1609	1617	involved
O	1618	1620	in
O	1621	1624	the
O	1625	1637	pathogenesis
O	1638	1640	of
O	1641	1644	CLD
O	1644	1645	.

O	1646	1652	Mutant
B-Protein	1653	1656	LPH
O	1657	1668	accumulates
O	1669	1682	predominantly
O	1683	1685	in
O	1686	1689	the
O	1690	1701	endoplasmic
O	1702	1711	reticulum
O	1712	1715	but
O	1716	1719	can
O	1720	1729	partially
O	1730	1736	mature
O	1737	1739	at
O	1740	1741	a
O	1742	1752	permissive
O	1753	1764	temperature
O	1764	1765	;
O	1766	1771	these
O	1772	1780	features
O	1781	1784	are
O	1785	1791	unique
O	1792	1795	for
O	1796	1797	a
O	1798	1805	protein
O	1806	1814	involved
O	1815	1817	in
O	1818	1819	a
O	1820	1832	carbohydrate
O	1833	1846	malabsorption
O	1847	1853	defect
O	1854	1865	implicating
B-Protein	1866	1869	LPH
O	1869	1870	.
